GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0005649	2524.2114103858	0.11651644142613	0.0916251013475157	1.27166507553652	0.203492144402332	0.548755324539401	chr3R	24043055	24048265	-	protein_coding	Rox8
FBti0020201	18.766217406875	0.288954069389371	0.22725666508076	1.27148776598779	0.203555177025423	0.548755324539401	chr3L	22099730	22105858	+	transposable_element	NA
FBgn0265434	20424.4031091104	0.103607286533793	0.0815218077988139	1.27091497761536	0.203758897434053	0.549133402399376	chr2R	24990569	25011965	-	protein_coding	zip
FBgn0262954	255.993491955303	0.177393445870492	0.139651453990055	1.27025849571981	0.203992567102995	0.549187799073112	chr2R	15144967	15145519	-	protein_coding	Rpb12
FBgn0027553	425.555526831093	-0.163213151615315	0.128496841074126	-1.27017248245941	0.204023197302317	0.549187799073112	chrX	7725995	7728361	-	protein_coding	NELF-B
FBgn0030731	1340.26439015483	-0.144645207982122	0.1138821868293	-1.27013022852233	0.204038245586084	0.549187799073112	chrX	16270950	16273815	+	protein_coding	Mfe2
FBgn0031106	462.307699643263	-0.167661083822244	0.13202006376233	-1.26996669327533	0.204096494511624	0.549187799073112	chrX	20392333	20393751	-	protein_coding	Syx16
FBgn0032363	2959.12285392731	-0.12248585537608	0.0963966248769083	-1.27064464686897	0.20385509597393	0.549187799073112	chr2L	11508398	11517081	-	protein_coding	Dlg5
FBgn0283682	2912.35935276207	0.111794163138729	0.0880605415455235	1.26951482669381	0.204257505854702	0.549450150232907	chr2L	11095149	11100888	-	protein_coding	Ge-1
FBgn0030101	71.6162734629018	0.251991555274369	0.198531294744734	1.2692787582853	0.204341659662521	0.549505656742453	chrX	9194749	9196414	-	protein_coding	CG12118
FBgn0086679	732.515300982825	-0.159994405770469	0.126323294465034	-1.26654712773308	0.205317267990429	0.551936706527411	chr3R	8660902	8670684	-	protein_coding	p
FBti0018990	25.6364299588351	-0.296263125872214	0.233942932276161	-1.26639058076987	0.205373281506385	0.551936706527411	chr2R	17147304	17152263	-	transposable_element	NA
FBgn0023097	1299.94412789617	-0.140498952030949	0.111030063415431	-1.26541359798434	0.205723103226475	0.552190681356573	chr3R	20593138	20612540	+	protein_coding	bon
FBgn0035439	503.729870433298	0.194250541771106	0.153460614930141	1.26580062160922	0.205584472506047	0.552190681356573	chr3L	3330062	3333181	+	protein_coding	CG14961
FBgn0033055	893.321622595508	-0.125227641163844	0.098955925852649	-1.26548905570663	0.20569606916392	0.552190681356573	chr2R	6042531	6044964	+	protein_coding	Tbce
FBgn0032863	360.745242115108	0.181053434517764	0.143069030228055	1.26549704173685	0.20569320817852	0.552190681356573	chr2L	20459341	20461729	+	protein_coding	Cdc23
FBgn0004103	4886.65803723998	-0.116184865037131	0.0918616282971612	-1.26478124969968	0.205949754645252	0.552549540932887	chr3R	12423620	12425917	-	protein_coding	Pp1-87B
FBgn0034697	1102.36628436941	-0.134500364797964	0.106350945572304	-1.26468424022165	0.205984541614676	0.552549540932887	chr2R	22124566	22127502	-	protein_coding	GM130
FBgn0012037	831.717695268223	0.190193595009683	0.150414671817398	1.26446172246133	0.20606435116345	0.55259228205673	chr2L	13905644	13909212	+	protein_coding	Ance
FBgn0035237	1087.26515211418	0.15448717655225	0.122212760930332	1.26408384342382	0.206199934970845	0.552613270580167	chr3L	1576698	1600845	+	protein_coding	CG13917
FBgn0259211	25.9929651858577	0.294557904313375	0.233007875752587	1.26415428389272	0.206174655867892	0.552613270580167	chr2R	17801131	17842820	+	protein_coding	grh
FBgn0032876	565.758654567712	0.144679477310502	0.114494926104746	1.26363221701319	0.206362064471893	0.552876500385985	chr2L	20678920	20681846	-	protein_coding	Cen
FBgn0039690	284.933791602385	0.187828030619316	0.148663419172742	1.26344484517113	0.206429356309201	0.55288556081452	chr3R	29738274	29741952	+	protein_coding	Gnpnat
FBgn0035462	187.744809839469	0.190358346737417	0.150732794593024	1.26288607101979	0.206630126422122	0.553080824157729	chr3L	3806709	3809090	+	protein_coding	IntS10
FBgn0000370	3257.96498086981	-0.111308219999993	0.0881319227544983	-1.26297278580946	0.206598960111284	0.553080824157729	chr2L	21310865	21319527	+	protein_coding	crc
FBgn0035144	273.150951355703	-0.202520982765514	0.160402079115597	-1.26258327748709	0.206738980732253	0.553201027625957	chr3L	582823	589274	-	protein_coding	Kah
RR48371_transposable_element	26.5310708703718	-0.295231349982369	0.233929240141769	-1.26205407157929	0.20692933026575	0.553368048262442	chr3R	2824452	2831449	-	transposable_element	NA
FBgn0015776	3991.07178139635	-0.10890680431293	0.0862860592949036	-1.26215990396217	0.206891253351537	0.553368048262442	chr2L	6778554	6786861	-	protein_coding	nrv1
FBgn0283724	1394.78918658952	0.117904978324299	0.0934619658408697	1.26152897880456	0.207118326046056	0.553538606055887	chr3L	3178929	3185287	+	protein_coding	Girdin
FBgn0003964	1326.68705964316	-0.116679393397639	0.0924910191884451	-1.26152132846446	0.207121080545938	0.553538606055887	chrX	2038797	2042311	-	protein_coding	usp
FBgn0002723	666.186629573156	-0.190686162889933	0.151205073217557	-1.2611095569232	0.207269377841482	0.553763862787728	chrX	11616123	11621280	+	protein_coding	Met
FBgn0263755	200.881674534376	0.194843920901415	0.154556333563935	1.2606660394206	0.207429194439929	0.554019747175001	chr3R	15259863	15263458	-	protein_coding	Su(var)3-9
FBgn0031011	4931.43682384267	-0.111664810289428	0.0887066839000763	-1.25880943103693	0.208099173061275	0.555637637701571	chrX	19281231	19298162	-	protein_coding	CG8034
FBgn0039451	1564.43706725393	-0.139377306112219	0.110814770083769	-1.25775026205314	0.208482088619621	0.556145096715493	chr3R	26719846	26725216	-	protein_coding	CG6420
FBgn0038099	661.115330904693	-0.180615065967648	0.143591562915079	-1.25783898650414	0.208449992969847	0.556145096715493	chr3R	12977999	12980535	+	protein_coding	CG7091
FBgn0035309	181.902818712187	-0.205167686253796	0.163120566228738	-1.25776712892289	0.208475986833671	0.556145096715493	chr3L	2167549	2169108	-	protein_coding	CG15879
FBgn0026199	1321.11983426937	-0.154459975204085	0.122877247450499	-1.25702665390766	0.208743984180906	0.556672073720412	chr4	690685	696055	-	protein_coding	myo
FBgn0036043	2304.81828926307	-0.11188059598491	0.089046428880085	-1.25642990282715	0.208960145666967	0.55690518181298	chr3L	9763543	9786466	+	protein_coding	Ae2
FBgn0051601	1353.52962615609	-0.144177484541137	0.114747357067143	-1.25647760633627	0.20894286003576	0.55690518181298	chr2L	22040726	22043877	-	protein_coding	CG31601
FBgn0028978	521.68904071322	0.158702975299814	0.126426685345045	1.25529649746555	0.209371146180425	0.557828698985788	chr3L	20396287	20401609	-	protein_coding	trbl
FBgn0031030	4724.44674647919	-0.11367699602431	0.0905787784793685	-1.25500694459246	0.209476238967268	0.557936866781352	chrX	19569720	19579800	-	protein_coding	Tao
FBgn0031598	443.048522365538	0.146923080002044	0.117094139662591	1.25474323843538	0.209571983961132	0.558020077946368	chr2L	4382924	4386062	-	protein_coding	Vps53
FBgn0023212	1344.57342142653	-0.134988683472521	0.10762753370799	-1.25422072607151	0.209761788495939	0.558027300390746	chr3R	20578221	20579850	-	protein_coding	EloB
FBgn0039355	92.9286287176887	0.235504353912201	0.187806530208291	1.25397319066067	0.209851750077188	0.558027300390746	chr3R	25677071	25678682	-	protein_coding	CG4730
FBgn0001311	14.0341441567173	0.289547549205939	0.230981578583783	1.25355256025715	0.210004683475944	0.558027300390746	chr3R	5378092	5392866	-	protein_coding	kkv
FBgn0038499	833.821537786152	-0.131514139344595	0.104928531002933	-1.25336872714743	0.210071547107085	0.558027300390746	chr3R	17374832	17391337	-	protein_coding	Brf
FBgn0036964	188.842054631512	0.187344409035874	0.149505973619551	1.25308978966025	0.210173031452942	0.558027300390746	chr3L	20295801	20296971	-	protein_coding	FRG1
FBgn0035923	547.760882957791	-0.149853153406715	0.119448800314158	-1.25453878994675	0.209646235809076	0.558027300390746	chr3L	8721323	8726108	+	protein_coding	CG6511
FBgn0033387	108.518224060658	-0.223574006507913	0.178424480317192	-1.25304558046327	0.210189119107489	0.558027300390746	chr2R	9157906	9161436	-	protein_coding	CG8008
FBgn0030309	7574.2012690707	-0.155968253144056	0.124473470731791	-1.25302405586591	0.210196952195891	0.558027300390746	chrX	11555049	11558654	-	protein_coding	CG1572
FBgn0031420	590.461464894441	-0.140746160297892	0.112330799498966	-1.25296144001172	0.210219740142578	0.558027300390746	chr2L	2375840	2380506	+	protein_coding	Atxn7
FBgn0051935	381.052597704263	-0.157009263503055	0.125249669275894	-1.25357028414344	0.209998237772568	0.558027300390746	chr2L	1594821	1611157	-	protein_coding	CG31935
FBgn0024912	122.635884309699	0.225725585684388	0.180295062904201	1.25197874000757	0.21057761089578	0.558805801183864	chr3R	6658805	6660100	-	protein_coding	agt
FBgn0275436	599.165577651213	-0.140665005719371	0.112407883083838	-1.25138025786374	0.210795776529384	0.558968089729699	chr2R	13968307	13969902	+	protein_coding	PheRS-m
FBgn0014028	2276.22749227818	-0.140682753680397	0.112447058130509	-1.25110212769744	0.210897219382469	0.558968089729699	chr2R	6807625	6809172	+	protein_coding	SdhB
FBgn0085430	2339.89920068423	-0.127211760548469	0.10165351899325	-1.25142505452189	0.21077944107461	0.558968089729699	chrX	18863949	18884075	+	protein_coding	CG34401
FBgn0052672	2355.59957662454	-0.133079741954271	0.106362019978199	-1.25119607526773	0.210862949788965	0.558968089729699	chrX	10764877	10768338	-	protein_coding	Atg8a
FBgn0038950	546.101402836309	-0.148595137183313	0.118794992088557	-1.25085354669278	0.210987914601255	0.559037197309483	chr3R	22364572	22365983	-	protein_coding	CG5382
FBgn0052476	13.0162795488977	0.287447926838879	0.22996319223896	1.24997363291159	0.211309179341604	0.559284564629042	chr3L	247490	250305	+	protein_coding	mthl14
FBgn0033972	474.644505362099	-0.159952938879576	0.127972781292605	-1.24989812102193	0.211336765907796	0.559284564629042	chr2R	14853862	14855048	-	protein_coding	Ciao1
FBgn0010220	612.285359351946	-0.140499381013434	0.112409431339164	-1.24988961637495	0.211339873051941	0.559284564629042	chr2R	9087833	9089802	+	protein_coding	Dbp45A
FBgn0286784	8464.74033805934	0.138857603271624	0.111093246270037	1.24991939594689	0.211328993330228	0.559284564629042	chr2R	9989158	9993559	+	protein_coding	TER94
FBgn0260049	3325.82602197091	0.114415196742398	0.0916373778497504	1.24856471700875	0.211824324016007	0.560103829232805	chr3L	13412842	13416453	+	protein_coding	flr
FBgn0086558	1306.0771257322	-0.284544284832562	0.227849774509126	-1.24882407913538	0.211729424836805	0.560103829232805	chrX	6276875	6279647	-	protein_coding	Ubi-p5E
FBgn0032671	205.31345915276	0.187427424247269	0.150120665862631	1.24851180995144	0.211843686192317	0.560103829232805	chr2L	18157109	18159272	-	protein_coding	JMJD4
FBgn0011335	303.393767819498	-0.166855086486255	0.13376923270839	-1.24733530355213	0.212274577867651	0.560127617502423	chr3L	12116100	12118055	+	protein_coding	vers
FBgn0035639	658.535485959669	-0.161008265998451	0.129036516420287	-1.24777288216639	0.212114242218696	0.560127617502423	chr3L	5810972	5812228	+	protein_coding	kri
FBgn0035443	150.705167455061	0.201279105638617	0.161342332858697	1.24752817237927	0.212203896925054	0.560127617502423	chr3L	3374281	3376649	+	protein_coding	CG12010
FBgn0003527	30.3115091018756	-0.286242334235162	0.229411259797739	-1.24772574148073	0.212131511096618	0.560127617502423	chr2R	12570366	12571883	+	protein_coding	stil
FBti0060568	13.7251546043716	-0.28784381176814	0.230782806288439	-1.24724981205223	0.212305913511784	0.560127617502423	chr2R	5095772	5098592	-	transposable_element	NA
FBti0060415	145.479463157604	-0.205986561557153	0.16502492727627	-1.24821483006812	0.211952394428774	0.560127617502423	chr2L	22261073	22262565	-	transposable_element	NA
FBgn0058439	12.649834951989	-0.240343189660106	0.192688922195961	-1.24731192079471	0.212283148139379	0.560127617502423	chr2L	22797518	22798276	-	protein_coding	CG40439
FBgn0026361	281.72286421317	0.171624395594992	0.137652612897491	1.24679359136321	0.212473190951478	0.560398041134524	chr2R	7960132	7961921	-	protein_coding	Sep5
FBgn0035483	155.249611426777	0.204490950787216	0.164123485080449	1.24595788766599	0.212779856134237	0.5608648797737	chr3L	4021456	4023501	+	protein_coding	Mul1
FBgn0031589	1641.33625326472	0.115914987184201	0.093022012883364	1.246102762037	0.212726670952291	0.5608648797737	chr2L	4189339	4198071	-	protein_coding	Naprt
FBgn0010039	728.231919509866	0.161091211586111	0.129329626763757	1.24558630235879	0.212916313613794	0.561053618359102	chr3R	12373067	12373813	+	protein_coding	GstD3
FBgn0032481	618.958896778073	-0.139845383229074	0.11230525405041	-1.24522565227715	0.213048815755815	0.561231822504128	chr2L	13197101	13203295	-	protein_coding	CG16972
FBti0019193	91.2153668000466	0.276925837770286	0.222620776930649	1.24393527678935	0.213523384720796	0.562310746185573	chr2L	17819977	17825122	-	transposable_element	NA
FBgn0028372	268.916823540494	0.166382030353341	0.133788896103792	1.24361613854907	0.213640873638084	0.562448934218827	chr2R	19670617	19673477	+	protein_coding	isopeptidase-T-3
FBgn0034087	3302.78084598479	0.127706557520613	0.102706527410466	1.24341228099587	0.213715947040565	0.562475405490699	chr2R	16186583	16194277	+	protein_coding	clu
FBgn0021875	305.903037416449	0.181680700795256	0.146162248928434	1.24300701533549	0.213865248329852	0.562697160371519	chr2R	24133988	24135405	+	protein_coding	Zfrp8
FBgn0035153	1591.63047848897	-0.120271055668433	0.0967764539912592	-1.24277188002049	0.213951907489228	0.562754013891552	chr3L	682884	685549	-	protein_coding	ebd1
FBgn0030268	3650.62366518377	0.124542118248672	0.100240869701935	1.24242854854508	0.214078487851944	0.562915804986982	chrX	11129361	11137118	-	protein_coding	Klp10A
FBgn0035044	141.068212773402	0.221816813749912	0.178683557157243	1.24139466036436	0.214459990717375	0.563747608537226	chr2R	24661502	24662409	+	protein_coding	CG3663
FBgn0259212	3350.96581005143	-0.123681937789157	0.0996694807378105	-1.2409208603636	0.214634985761231	0.563769226923817	chr3R	5170003	5217456	-	protein_coding	cno
FBgn0261276	2879.98008515319	0.105135504585879	0.0847261060419857	1.24088677619363	0.214647578502485	0.563769226923817	chr2R	14230610	14235449	-	protein_coding	Opa1
FBgn0030638	958.052764766819	0.160535616587412	0.129376242405227	1.2408430914587	0.214663719048324	0.563769226923817	chrX	15453470	15455551	+	protein_coding	CG11655
FBgn0014342	194.907578811519	0.187483309465965	0.151179016356341	1.24014108561238	0.214923214734701	0.564123869563965	chr3R	5548114	5551168	-	protein_coding	mia
FBti0019414	9.26717020380418	0.257287338211117	0.207968277446598	1.23714703689452	0.216032499940723	0.564123869563965	chr3R	21761176	21768511	-	transposable_element	NA
FBgn0037979	765.312861138921	-0.128103002828676	0.103402014188217	-1.23888305111249	0.215388811272409	0.564123869563965	chr3R	12010771	12015059	+	protein_coding	GCC185
FBgn0039356	22.5618366168887	0.290199125447532	0.234060215687005	1.23984815016833	0.215031564827056	0.564123869563965	chr3R	25678682	25679529	+	protein_coding	CG5039
FBgn0037232	245.385926753769	-0.18187552424269	0.146887743354482	-1.23819401189773	0.215644131358041	0.564123869563965	chr3R	4311554	4315398	+	protein_coding	Suv3
FBgn0038455	934.267402776613	-0.151328719738761	0.122069232189354	-1.23969584329014	0.215087915194822	0.564123869563965	chr3R	16651216	16652319	-	protein_coding	CG14907
FBgn0017456	21.1650996148954	0.289581854640873	0.23402476778974	1.23739832059591	0.215939241982923	0.564123869563965	chr3R	7518819	7519456	-	protein_coding	Ubc84D
FBgn0263396	9998.6756639672	-0.124425808446684	0.100590221445171	-1.23695729723098	0.216102936508494	0.564123869563965	chr3R	13634861	13646304	-	protein_coding	sqd
FBgn0035321	1275.34132766715	-0.157489074156579	0.127312223005983	-1.23703027437655	0.216075843433711	0.564123869563965	chr3L	2252743	2257423	-	protein_coding	CG1275
FBgn0260874	167.777741614252	0.1995733566136	0.161095068442467	1.23885453815041	0.215399372288519	0.564123869563965	chr3L	19799277	19803427	+	protein_coding	Ir76a
FBgn0034231	81.348378808646	0.239559435008213	0.193581003489491	1.23751520391937	0.215895873402297	0.564123869563965	chr2R	17517260	17518186	-	protein_coding	APC10
FBgn0034674	980.361451289937	-0.12560767273263	0.101384503067662	-1.2389237894553	0.215373722701896	0.564123869563965	chr2R	21973121	21976386	+	protein_coding	CG9304
FBgn0028953	1676.94821184585	-0.144518337270323	0.11669249813222	-1.23845439581363	0.215547621768829	0.564123869563965	chr2R	17457662	17465795	+	protein_coding	CG14478
FBgn0034027	73.1425903248689	0.244062670531941	0.1972051279119	1.23760813481977	0.215861396644312	0.564123869563965	chr2R	15539553	15541363	-	protein_coding	CG8187
FBgn0034314	92.3206816080641	-0.230721007997911	0.186306917695802	-1.23839206214891	0.215570722499435	0.564123869563965	chr2R	18180495	18182519	+	protein_coding	nopo
FBgn0053080	58.1217087848008	-0.256932999957454	0.207519235400136	-1.23811655079607	0.215672847812754	0.564123869563965	chrX	5708558	5717778	-	protein_coding	CG33080
FBgn0029950	23.0934451581181	-0.27173209099422	0.219237446289059	-1.23944196392412	0.215181868915954	0.564123869563965	chrX	7418593	7422142	+	protein_coding	CG9657
FBgn0004404	3165.9809349581	-0.273353737581856	0.220554167145602	-1.23939502535628	0.215199242818464	0.564123869563965	chrX	7934897	7935792	+	protein_coding	RpS14b
FBgn0260747	2264.39375434307	-0.139707893568103	0.112896568976144	-1.23748573437714	0.215906807238335	0.564123869563965	chrX	17149000	17150647	+	protein_coding	Chchd2
FBgn0015031	1178.15527052096	0.177314317397844	0.143081742661527	1.23925187168916	0.215252236145005	0.564123869563965	chr2L	5327226	5327969	+	protein_coding	cype
FBgn0030286	1884.38982514622	-0.112629069124609	0.0910724853267088	-1.23669699712893	0.216199593946118	0.564205938831936	chrX	11325384	11334071	+	protein_coding	Gapvd1
FBgn0035770	327.979738792837	-0.170250265712399	0.137729754453072	-1.23611826934904	0.216414604894245	0.564596727062761	chr3L	7357274	7360263	-	protein_coding	pst
FBgn0027783	1559.08345714119	-0.117911662716841	0.0954035746361631	-1.23592499721856	0.216486444296786	0.564613876880161	chr2R	14848620	14852653	-	protein_coding	SMC2
FBgn0033928	710.639176359427	-0.147481621311163	0.119436039349357	-1.23481674471615	0.216898714023435	0.565518618148503	chr2R	14361923	14362825	+	protein_coding	Arc2
FBgn0038705	45.397214529339	0.27127456159934	0.219770393037058	1.23435444533968	0.217070856164752	0.565796919759345	chr3R	19408872	19411265	+	protein_coding	CG11626
FBgn0000711	1098.84667523096	0.119426927317931	0.0967740164302327	1.23408050759192	0.217172906190543	0.56589241308867	chrX	10385959	10409817	+	protein_coding	flw
FBgn0263095	11.6622770466849	0.272884538583244	0.221189289872256	1.23371497209853	0.21730913286438	0.566076876967706	chr2L	19517991	19518632	-	ncRNA	lncRNA:CR43363
FBgn0039051	30.5279472569533	0.282535406922612	0.22928848143354	1.23222677893004	0.217864382679566	0.566840533702534	chr3R	23095689	23097240	+	protein_coding	CG17109
FBgn0283477	2078.42708086715	0.115129719006585	0.0934152165052926	1.2324514497064	0.217780491966522	0.566840533702534	chr3R	16338942	16341988	-	protein_coding	SF2
FBgn0031118	2809.66634213377	-0.144780117586635	0.117448431788462	-1.23271222426708	0.217683149442087	0.566840533702534	chrX	20469954	20510694	-	protein_coding	RhoGAP19D
FBgn0011648	1105.92679388684	-0.12876232913451	0.104484940581188	-1.23235299190755	0.21781725265583	0.566840533702534	chr2L	3146055	3159643	-	protein_coding	Mad
FBgn0037574	112.438509159978	-0.229044471972371	0.185918737314959	-1.2319601309703	0.217963977563145	0.566929155110873	chr3R	8314783	8316543	-	protein_coding	Coq2
FBgn0036207	222.652783534162	0.18433543099626	0.149793519998751	1.23059683087625	0.218473691121531	0.5680841304155	chr3L	11793513	11795418	+	protein_coding	CG10907
FBgn0030808	2767.63426352799	-0.115333964139823	0.0937783555278109	-1.22985696956074	0.218750670291089	0.568121299516125	chrX	16943289	16956234	+	protein_coding	RhoGAP15B
FBgn0030061	668.369423494494	-0.133160304678527	0.108244214462472	-1.23018403653059	0.218628196337775	0.568121299516125	chrX	8714935	8717065	+	protein_coding	CG1785
FBgn0032402	43.3119897194419	0.268679278458454	0.218427652828434	1.23006073168534	0.218674363455799	0.568121299516125	chr2L	12049417	12052049	+	protein_coding	PLCXD
FBti0019151	47.1847388304973	0.242055275912898	0.196802428067771	1.2299404955997	0.218719388329377	0.568121299516125	chr2L	11563691	11568837	-	transposable_element	NA
FBgn0014024	1363.85496146164	-0.122634648256488	0.0997293839270827	-1.22967417853652	0.218819139936935	0.56812856530445	chrX	5318927	5322696	-	protein_coding	Rnp4F
FBgn0003612	1791.9758168636	-0.109735116260233	0.0892967859341895	-1.22888091785416	0.219116456937762	0.568729813671941	chr2R	9116121	9122000	+	protein_coding	Su(var)2-10
FBgn0031174	1920.96143096196	-0.106782794688773	0.086931905718348	-1.22834986540776	0.219315659368695	0.568822777880151	chrX	21324045	21328150	+	protein_coding	CG1486
FBgn0022770	16.6801920946681	0.28528940273028	0.23222791983836	1.22848881792014	0.219263524507516	0.568822777880151	chrX	20244646	20248203	+	protein_coding	Peritrophin-A
FBgn0031452	492.160519281719	-0.193605881487593	0.15762618988995	-1.22825960345018	0.219349530344259	0.568822777880151	chr2L	2745097	2746944	+	protein_coding	Cwc25
FBgn0033677	150.711620438683	0.207308462175807	0.168821486210848	1.22797439371486	0.219456580534376	0.568929840636166	chr2R	12033945	12036260	+	protein_coding	CG8321
FBgn0027864	101.407158701709	-0.226055621129423	0.184160628366226	-1.2274915824021	0.219637883672715	0.56922927850589	chrX	8690326	8691811	+	protein_coding	Ogg1
FBgn0038803	467.566577847553	0.157101771230174	0.128103964281332	1.22636151122661	0.220062663166229	0.569914790328583	chr3R	20560864	20573000	+	protein_coding	CG5191
FBgn0000562	1430.09563839278	-0.12645298278733	0.103150128101507	-1.22591202856182	0.220231781767247	0.569914790328583	chr2R	23734903	23746829	-	protein_coding	egl
FBgn0040372	638.333105179943	-0.143983824602768	0.11738986307798	-1.22654393511919	0.219994052461644	0.569914790328583	chrX	245977	254650	+	protein_coding	G9a
FBgn0030170	232.523096562884	-0.18324611260407	0.149439044194759	-1.22622647643043	0.220113460438759	0.569914790328583	chrX	10010480	10014279	+	protein_coding	CG2990
FBgn0259818	52.7881990444907	-0.265371730204732	0.216454059217678	-1.22599562772745	0.220200320386279	0.569914790328583	chr2L	144230	153300	-	protein_coding	CG42399
FBgn0260442	4096.09770999519	-0.120262989830109	0.098173092701857	-1.22500968972565	0.220571569669183	0.570452809927684	chr3L	8545000	8574409	+	protein_coding	rhea
FBgn0000173	1529.36829209081	0.127510207561672	0.104076313568331	1.22516068440448	0.220514684401779	0.570452809927684	chrX	13996344	13999805	+	protein_coding	ben
FBgn0040609	265.622006198498	-0.171041086893433	0.13974534577538	-1.22394836081594	0.220971708402164	0.571066523820264	chr3R	27291534	27292209	-	protein_coding	CG3348
FBgn0038348	111.519604286926	0.218250751701553	0.178302658561108	1.22404653673043	0.220934672614267	0.571066523820264	chr3R	15537712	15542414	-	protein_coding	AOX2
FBgn0040777	5335.09829397621	-0.112327523589783	0.0917817197913572	-1.2238550753367	0.221006903450496	0.571066523820264	chr2R	8718016	8723839	-	protein_coding	CG14767
FBgn0031937	350.896462035533	0.215300201329604	0.175988205268496	1.2233785838155	0.221186738404538	0.571189992220197	chr2L	7723044	7726298	-	protein_coding	CG13795
FBgn0264821	186.08400511043	0.227401575679569	0.185866869810804	1.22346481603227	0.221154185318547	0.571189992220197	chr4	879373	884752	+	ncRNA	asRNA:CR44029
FBgn0051119	29.2580779171143	0.281440945907131	0.230106138282486	1.22309186537921	0.221295000718765	0.571278882880115	chr3R	24854495	24856243	-	protein_coding	HDAC11
FBgn0000119	630.424700284327	-0.137596881525046	0.112513403533704	-1.22293768745363	0.221353232622141	0.571278882880115	chr2R	13453639	13483229	-	protein_coding	arr
FBgn0038353	185.809957462689	-0.230299176802257	0.188423341602665	-1.22224335288511	0.22161561392465	0.571785468554175	chr3R	15695240	15697142	+	protein_coding	CG5399
FBgn0003885	2096.847147034	0.153112616391944	0.125365893312425	1.22132593121138	0.221962638991435	0.572510074512493	chr3R	7530752	7532732	+	protein_coding	alphaTub84D
FBgn0031351	77.6001892288237	0.245467762626187	0.201036250862591	1.22101243717465	0.222081310815143	0.572542384590961	chr2L	1611409	1612576	+	protein_coding	CG14352
FBgn0262683	11.6107432428964	-0.272661673940717	0.223320524757395	-1.22094319022815	0.222107530075976	0.572542384590961	chr2L	11521764	11522776	-	protein_coding	CG43153
FBgn0020626	1496.18610034971	-0.113695528489532	0.0931494932642222	-1.220570552832	0.22224866139521	0.572623112609089	chr3R	24934868	24938222	-	protein_coding	Osbp
FBgn0035393	304.142062082525	0.187077562304621	0.153284926231333	1.2204563547383	0.222291925214634	0.572623112609089	chr3L	3055078	3055842	+	protein_coding	CG16753
FBgn0259711	108.8309736149	0.227697270244181	0.18658567633008	1.22033628048368	0.222337421714707	0.572623112609089	chr2R	21666686	21667594	+	protein_coding	CG42365
FBgn0259923	65.8618455603987	0.245355610102002	0.201115200587701	1.2199754637393	0.222474176395567	0.572804791666086	chrX	16684215	16695173	-	protein_coding	Sep4
FBgn0264495	3672.8437773982	-0.127340002807581	0.104534274281022	-1.21816508205959	0.223161245944911	0.573890588189485	chr3R	6406854	6449274	+	protein_coding	gpp
FBgn0033108	12.2023589949043	0.27742703155643	0.227643965605426	1.21868827411526	0.22296253018056	0.573890588189485	chr2R	6828355	6838360	+	protein_coding	CG15236
FBgn0000316	295.030654986404	0.162401852390926	0.133302019727237	1.21830001318234	0.223109985068194	0.573890588189485	chrX	255673	258469	+	protein_coding	cin
FBgn0030812	2041.50688693118	-0.129524335695249	0.106319821552924	-1.21825200422082	0.223128222900279	0.573890588189485	chrX	17068716	17077897	-	protein_coding	wcy
FBgn0029094	680.127291046755	-0.129796448813459	0.106605736952181	-1.21753718443578	0.223399897628409	0.574333585255087	chr3L	19618893	19620398	+	protein_coding	asf1
FBgn0010043	97.8505050524058	-0.23827093326332	0.195903129215324	-1.21626915413601	0.223882407822539	0.575061374724699	chr3R	12378499	12379255	+	protein_coding	GstD7
FBgn0038320	4924.71846910201	-0.113040460138599	0.0929366441380762	-1.21631742986819	0.22386402433296	0.575061374724699	chr3R	15333265	15338365	+	protein_coding	Sra-1
FBti0020127	193.735581350725	0.284119243547842	0.233561549632239	1.21646411404279	0.223808173346047	0.575061374724699	chr3L	16684074	16689237	+	transposable_element	NA
FBgn0035911	368.685338231134	-0.162807854411392	0.134081577431095	-1.21424477195653	0.224654268313189	0.575528942205035	chr3L	8574406	8576078	-	protein_coding	CG6638
FBti0062729	11.2140048318489	0.258277608474145	0.212528754838986	1.21525959473022	0.224267097294829	0.575528942205035	chr3L	23637624	23644445	-	transposable_element	NA
FBgn0261363	610.773400279207	-0.166265250474864	0.136931575607532	-1.21422140756933	0.224663187819489	0.575528942205035	chr2R	23064768	23067183	+	protein_coding	PPO3
FBgn0033397	56.3689104383626	-0.259794578075413	0.213887278399008	-1.21463314704844	0.224506040664097	0.575528942205035	chr2R	9242319	9244410	+	protein_coding	Cyp4p3
FBgn0263864	419.890199655662	-0.155358805029731	0.127946849024362	-1.21424486975955	0.224654230976785	0.575528942205035	chr2R	17020026	17026703	+	protein_coding	Dark
FBgn0286813	2626.58218996672	-0.132889311318586	0.109394253289423	-1.21477415241367	0.224452241705483	0.575528942205035	chr2R	15380723	15387851	+	protein_coding	SRPK
FBgn0262900	46.6203057301421	-0.273337019150745	0.224923862646052	-1.21524241996892	0.224273645769068	0.575528942205035	chrX	8923959	8924449	+	protein_coding	CG43255
FBgn0040207	1022.70628512606	-0.116010718163686	0.0954910080328402	-1.21488630765934	0.224409456754112	0.575528942205035	chrX	16267006	16276180	-	protein_coding	kat80
